#{"t_start": 1752288568.589439, "env_id": "None"}
r,l,t
20.483313,500,12570.31727
6.302196,500,12589.28606
16.357955,500,12602.122947
8.73056,500,12615.461103
17.710172,500,12628.495398
15.759148,500,12658.657559
7.449993,500,12671.587632
14.70572,500,12685.076876
3.895145,500,12697.815668
18.563749,500,12728.201218
6.20717,500,12741.248526
23.770784,500,12754.511524
10.150831,500,12767.440147
8.672953,500,12798.307213
16.205271,500,12811.463663
3.868035,500,12825.314718
20.525838,500,12839.006756
11.350931,500,12869.243583
8.110079,500,12882.473373
6.551941,500,12895.688614
22.979585,500,12908.696718
2.102426,500,12927.804406
11.679733,500,12940.634957
5.967666,500,12954.599146
12.527541,500,12969.423256
14.870278,500,13000.150676
13.903655,500,13014.106669
9.327858,500,13027.38673
12.704175,500,13040.568165
6.612313,500,13071.273142
8.784739,500,13084.492859
1.668734,500,13097.87232
5.325305,500,13111.005807
5.336716,500,13141.405503
23.849902,500,13154.807566
7.031984,500,13168.043207
4.824784,500,13181.509495
24.706922,500,13211.604481
13.214982,500,13225.51788
3.75385,500,13239.07096
13.101624,500,13252.317742
0.992239,500,13272.464976
8.156908,500,13285.463028
5.853584,500,13299.299551
4.313665,500,13312.625694
7.117844,500,13343.646346
3.66564,500,13356.621742
19.137906,500,13370.09301
25.686426,500,13383.069503
12.659082,500,13415.083034
15.211159,500,13428.528431
5.118193,500,13442.316072
15.995121,500,13455.50161
26.498345,500,13485.609571
3.40479,500,13498.814479
12.328726,500,13511.902537
17.922342,500,13525.340746
0.255963,500,13555.287563
4.379502,500,13568.764888
17.367723,500,13581.537345
14.687106,500,13594.543123
13.089301,500,13613.849025
4.717799,500,13626.747832
22.016225,500,13640.91424
2.997711,500,13654.400526
20.952083,500,13685.323689
13.273791,500,13698.3263
6.68633,500,13711.502864
-0.607371,500,13724.52834
10.714531,500,13755.680731
4.688767,500,13769.210801
7.120316,500,13782.267725
21.334978,500,13795.311217
11.974665,500,13825.854355
7.014428,500,13839.061613
13.639027,500,13852.256476
26.757646,500,13865.184608
0.121115,500,13895.340532
24.842318,500,13908.442197
17.447969,500,13921.20822
1.958644,500,13934.358586
3.323775,500,13953.430528
16.795796,500,13966.630368
0.889169,500,13979.699572
6.399987,500,13992.719093
7.441296,500,14023.747876
0.985669,500,14037.99134
12.415991,500,14051.197161
18.138187,500,14063.968146
12.60003,500,14093.529412
9.282481,500,14106.829064
15.610612,500,14119.757593
4.500768,500,14134.068971
7.522619,500,14164.94985
10.96827,500,14178.431191
13.112058,500,14191.407107
10.301325,500,14204.581942
3.198847,500,14234.70526
1.955427,500,14247.743588
2.475467,500,14260.4201
4.392319,500,14273.585399
0.278742,500,14292.408274
18.788788,500,14306.199272
6.358473,500,14319.506702
6.861989,500,14332.733783
1.226378,500,14363.35758
3.841951,500,14376.310183
16.125755,500,14389.542569
20.883448,500,14402.44226
9.675535,500,14432.537996
2.705963,500,14445.838127
5.590446,500,14459.078077
5.655616,500,14472.101365
4.575956,500,14501.727716
10.27758,500,14515.130168
10.738358,500,14528.155539
14.386594,500,14540.883896
5.182535,500,14571.32088
7.835401,500,14584.806368
